Date : 2023-01-02 00:18:28
Directory : c:\Users\User\Desktop\receive\linkspeak
Total : 457 files,  107651 codes, 1653 comments, 4836 blanks, all 114140 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        387 |    102,307 |      1,415 |      4,528 |    108,250 |
| JSON       |         11 |      3,005 |         10 |          7 |      3,022 |
| XML        |         19 |        997 |         33 |         23 |      1,053 |
| C++        |         17 |        512 |        113 |        174 |        799 |
| HTML       |          2 |        185 |         21 |         12 |        218 |
| JavaScript |          2 |        154 |          0 |          2 |        156 |
| YAML       |          4 |        139 |         39 |          7 |        185 |
| Groovy     |          4 |        110 |          7 |         24 |        141 |
| Java       |          2 |         94 |          7 |         19 |        120 |
| Swift      |          4 |         88 |          6 |         22 |        116 |
| CSS        |          1 |         36 |          0 |          8 |         44 |
| Markdown   |          2 |         16 |          0 |          8 |         24 |
| Properties |          2 |          8 |          2 |          2 |         12 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        457 |    107,651 |      1,653 |      4,836 |    114,140 |
| android                                                                                                            |         21 |        636 |         47 |         66 |        749 |
| android\app                                                                                                        |         16 |        589 |         45 |         54 |        688 |
| android\app\src                                                                                                    |         14 |        372 |         38 |         40 |        450 |
| android\app\src\debug                                                                                              |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                               |         12 |        364 |         32 |         38 |        434 |
| android\app\src\main\java                                                                                          |          2 |         94 |          7 |         19 |        120 |
| android\app\src\main\java\com                                                                                      |          2 |         94 |          7 |         19 |        120 |
| android\app\src\main\java\com\linkspeak                                                                            |          2 |         94 |          7 |         19 |        120 |
| android\app\src\main\java\com\linkspeak\techlr                                                                     |          2 |         94 |          7 |         19 |        120 |
| android\app\src\main\res                                                                                           |          9 |        183 |         25 |         17 |        225 |
| android\app\src\main\res\drawable                                                                                  |          1 |          9 |          0 |          0 |          9 |
| android\app\src\main\res\drawable-v21                                                                              |          1 |          9 |          0 |          0 |          9 |
| android\app\src\main\res\layout                                                                                    |          1 |        114 |          0 |         17 |        131 |
| android\app\src\main\res\values                                                                                    |          2 |         15 |          9 |          0 |         24 |
| android\app\src\main\res\values-night                                                                              |          1 |         10 |          9 |          0 |         19 |
| android\app\src\main\res\values-v31                                                                                |          1 |         10 |          7 |          0 |         17 |
| android\app\src\main\res\xml                                                                                       |          2 |         16 |          0 |          0 |         16 |
| android\app\src\profile                                                                                            |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                     |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                             |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                             |          2 |         64 |          0 |          0 |         64 |
| assets\images                                                                                                      |          2 |         64 |          0 |          0 |         64 |
| functions                                                                                                          |          4 |      2,833 |          0 |          4 |      2,837 |
| ios                                                                                                                |         13 |        424 |         11 |         23 |        458 |
| ios\Runner                                                                                                         |         12 |        417 |         11 |         23 |        451 |
| ios\Runner\Assets.xcassets                                                                                         |          5 |         71 |          0 |          5 |         76 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                      |          1 |          1 |          0 |          0 |          1 |
| ios\Runner\Assets.xcassets\BrandingImage.imageset                                                                  |          1 |         23 |          0 |          1 |         24 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                               |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                    |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                              |          2 |         68 |          2 |          1 |         71 |
| lib                                                                                                                |        386 |    102,307 |      1,415 |      4,527 |    108,249 |
| lib\Locales                                                                                                        |          4 |      5,972 |          0 |        674 |      6,646 |
| lib\admin                                                                                                          |         39 |      5,443 |         11 |        276 |      5,730 |
| lib\admin\screens                                                                                                  |         23 |      3,521 |          2 |        186 |      3,709 |
| lib\admin\widgets                                                                                                  |         15 |      1,871 |          9 |         86 |      1,966 |
| lib\admin\widgets\All Posts                                                                                        |          1 |        226 |          8 |         12 |        246 |
| lib\admin\widgets\Archives                                                                                         |          2 |         55 |          0 |          8 |         63 |
| lib\admin\widgets\Finders                                                                                          |          2 |         79 |          1 |          6 |         86 |
| lib\admin\widgets\Generals                                                                                         |          4 |        718 |          0 |         28 |        746 |
| lib\admin\widgets\Misc                                                                                             |          5 |        627 |          0 |         28 |        655 |
| lib\admin\widgets\Profanity                                                                                        |          1 |        166 |          0 |          4 |        170 |
| lib\clubs                                                                                                          |         27 |     10,527 |         21 |        362 |     10,910 |
| lib\flares                                                                                                         |         38 |     14,929 |        186 |        501 |     15,616 |
| lib\loading                                                                                                        |         11 |        580 |          0 |         39 |        619 |
| lib\models                                                                                                         |         25 |      1,352 |         26 |        146 |      1,524 |
| lib\providers                                                                                                      |         29 |      2,687 |         44 |        252 |      2,983 |
| lib\screens                                                                                                        |         64 |     22,487 |        469 |        838 |     23,794 |
| lib\widgets                                                                                                        |        142 |     36,403 |        487 |      1,363 |     38,253 |
| lib\widgets\alerts                                                                                                 |          8 |      1,032 |         37 |         65 |      1,134 |
| lib\widgets\auth                                                                                                   |          8 |      2,014 |         56 |         80 |      2,150 |
| lib\widgets\chat                                                                                                   |         15 |      4,993 |         62 |        165 |      5,220 |
| lib\widgets\common                                                                                                 |         16 |      2,281 |         56 |        113 |      2,450 |
| lib\widgets\fullPost                                                                                               |         12 |      5,717 |        141 |        166 |      6,024 |
| lib\widgets\home                                                                                                   |         15 |        876 |          0 |         59 |        935 |
| lib\widgets\misc                                                                                                   |          9 |      1,880 |          4 |        100 |      1,984 |
| lib\widgets\places                                                                                                 |          3 |        611 |          8 |         35 |        654 |
| lib\widgets\post                                                                                                   |         15 |      7,703 |         63 |        197 |      7,963 |
| lib\widgets\profile                                                                                                |         24 |      6,286 |         33 |        249 |      6,568 |
| lib\widgets\settings                                                                                               |          3 |        916 |          0 |         33 |        949 |
| lib\widgets\share                                                                                                  |          2 |      1,013 |         24 |         37 |      1,074 |
| lib\widgets\snackbar                                                                                               |          7 |        249 |          0 |         19 |        268 |
| lib\widgets\topics                                                                                                 |          5 |        832 |          3 |         45 |        880 |
| linux                                                                                                              |          5 |         98 |         27 |         38 |        163 |
| linux\flutter                                                                                                      |          2 |         12 |          9 |         11 |         32 |
| macos                                                                                                              |          5 |        469 |          3 |         12 |        484 |
| macos\Flutter                                                                                                      |          1 |         38 |          3 |          4 |         45 |
| macos\Runner                                                                                                       |          4 |        431 |          0 |          8 |        439 |
| macos\Runner\Assets.xcassets                                                                                       |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                    |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                            |          1 |        343 |          0 |          1 |        344 |
| public                                                                                                             |          1 |         79 |          6 |          5 |         90 |
| test                                                                                                               |          1 |          0 |          0 |          1 |          1 |
| web                                                                                                                |          3 |        165 |         15 |         16 |        196 |
| web\splash                                                                                                         |          1 |         36 |          0 |          8 |         44 |
| windows                                                                                                            |         10 |        410 |         80 |        131 |        621 |
| windows\flutter                                                                                                    |          2 |         14 |          9 |         11 |         34 |
| windows\runner                                                                                                     |          8 |        396 |         71 |        120 |        587 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                           | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\User\Desktop\receive\linkspeak\README.md                                                                  | Markdown   |         13 |          0 |          6 |         19 |
| c:\Users\User\Desktop\receive\linkspeak\analysis_options.yaml                                                      | YAML       |          2 |         24 |          4 |         30 |
| c:\Users\User\Desktop\receive\linkspeak\android\app\build.gradle                                                   | Groovy     |         71 |          7 |         14 |         92 |
| c:\Users\User\Desktop\receive\linkspeak\android\app\google-services.json                                           | JSON       |        146 |          0 |          0 |        146 |
| c:\Users\User\Desktop\receive\linkspeak\android\app\src\debug\AndroidManifest.xml                                  | XML        |          4 |          3 |          1 |          8 |
| c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\AndroidManifest.xml                                   | XML        |         87 |          0 |          2 |         89 |
| c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\java\com\linkspeak\techlr\MainActivity.java           | Java       |         17 |          0 |          3 |         20 |
| c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\java\com\linkspeak\techlr\NativeAdFactoryExample.java | Java       |         77 |          7 |         16 |        100 |
| c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\drawable-v21\launch_background.xml                | XML        |          9 |          0 |          0 |          9 |
| c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\drawable\launch_background.xml                    | XML        |          9 |          0 |          0 |          9 |
| c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\layout\my_native_ad.xml                           | XML        |        114 |          0 |         17 |        131 |
| c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\values-night\styles.xml                           | XML        |         10 |          9 |          0 |         19 |
| c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\values-v31\styles.xml                             | XML        |         10 |          7 |          0 |         17 |
| c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\values\strings.xml                                | XML        |          5 |          0 |          0 |          5 |
| c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\values\styles.xml                                 | XML        |         10 |          9 |          0 |         19 |
| c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\xml\filepaths.xml                                 | XML        |          4 |          0 |          0 |          4 |
| c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\xml\network_security_config.xml                   | XML        |         12 |          0 |          0 |         12 |
| c:\Users\User\Desktop\receive\linkspeak\android\app\src\profile\AndroidManifest.xml                                | XML        |          4 |          3 |          1 |          8 |
| c:\Users\User\Desktop\receive\linkspeak\android\build.gradle                                                       | Groovy     |         30 |          0 |          5 |         35 |
| c:\Users\User\Desktop\receive\linkspeak\android\gradle.properties                                                  | Properties |          3 |          1 |          1 |          5 |
| c:\Users\User\Desktop\receive\linkspeak\android\gradle\wrapper\gradle-wrapper.properties                           | Properties |          5 |          1 |          1 |          7 |
| c:\Users\User\Desktop\receive\linkspeak\android\settings.gradle                                                    | Groovy     |          8 |          0 |          4 |         12 |
| c:\Users\User\Desktop\receive\linkspeak\android\settings_aar.gradle                                                | Groovy     |          1 |          0 |          1 |          2 |
| c:\Users\User\Desktop\receive\linkspeak\assets\images\endgame.svg                                                  | XML        |         63 |          0 |          0 |         63 |
| c:\Users\User\Desktop\receive\linkspeak\assets\images\noposts.svg                                                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\User\Desktop\receive\linkspeak\codemagic.yaml                                                             | YAML       |         18 |          8 |          1 |         27 |
| c:\Users\User\Desktop\receive\linkspeak\firebase.json                                                              | JSON       |         14 |         10 |          0 |         24 |
| c:\Users\User\Desktop\receive\linkspeak\flutter_native_splash.yaml                                                 | YAML       |          4 |          0 |          1 |          5 |
